segment,keyword,clicks,length
website_1,keyword_id_1,68806,2
website_1,keyword_id_2,62584,1
website_1,keyword_id_3,53947,2
website_1,keyword_id_4,30763,1
website_1,keyword_id_5,30500,1
website_1,keyword_id_6,28652,2
website_1,keyword_id_7,28446,1
website_1,keyword_id_8,26815,1
website_1,keyword_id_9,25262,1
website_1,keyword_id_10,24804,1
website_1,keyword_id_11,23101,3
website_1,keyword_id_12,22792,2
website_1,keyword_id_13,18374,1
website_1,keyword_id_14,16190,2
website_1,keyword_id_15,15626,3
website_1,keyword_id_16,14676,2
website_1,keyword_id_17,12426,2
website_1,keyword_id_18,11285,1
website_1,keyword_id_19,10965,3
website_1,keyword_id_20,10863,2
website_1,keyword_id_21,10269,1
website_1,keyword_id_22,10221,2
website_1,keyword_id_23,10032,2
website_1,keyword_id_24,10007,2
website_1,keyword_id_25,9588,1
website_1,keyword_id_26,9342,1
website_1,keyword_id_27,9016,2
website_1,keyword_id_28,8961,1
website_1,keyword_id_29,8678,2
website_1,keyword_id_30,8556,2
website_1,keyword_id_31,8212,2
website_1,keyword_id_32,8113,2
website_1,keyword_id_33,7865,1
website_1,keyword_id_34,7137,2
website_1,keyword_id_35,6952,2
website_1,keyword_id_36,6918,1
website_1,keyword_id_37,6914,2
website_1,keyword_id_38,6877,2
website_1,keyword_id_39,6640,2
website_1,keyword_id_40,6407,1
website_1,keyword_id_41,6015,2
website_1,keyword_id_42,5870,2
website_1,keyword_id_43,5704,2
website_1,keyword_id_44,5636,1
website_1,keyword_id_45,5484,2
website_1,keyword_id_46,5353,3
website_1,keyword_id_47,5245,2
website_1,keyword_id_48,5145,3
website_1,keyword_id_49,5014,1
website_1,keyword_id_50,4991,3
website_1,keyword_id_51,4919,3
website_1,keyword_id_52,4823,2
website_1,keyword_id_53,4689,2
website_1,keyword_id_54,4661,4
website_1,keyword_id_55,4627,2
website_1,keyword_id_56,4450,3
website_1,keyword_id_57,4257,3
website_1,keyword_id_58,4127,3
website_1,keyword_id_59,4031,4
website_1,keyword_id_60,4005,3
website_1,keyword_id_61,3999,2
website_1,keyword_id_62,3933,3
website_1,keyword_id_63,3871,2
website_1,keyword_id_64,3750,4
website_1,keyword_id_65,3652,2
website_1,keyword_id_66,3617,4
website_1,keyword_id_67,3547,2
website_1,keyword_id_68,3476,2
website_1,keyword_id_69,3448,4
website_1,keyword_id_70,3390,2
website_1,keyword_id_71,3386,3
website_1,keyword_id_72,3293,2
website_1,keyword_id_73,3252,1
website_1,keyword_id_74,3221,2
website_1,keyword_id_75,3209,3
website_1,keyword_id_76,3156,3
website_1,keyword_id_77,3002,4
website_1,keyword_id_78,2973,2
website_1,keyword_id_79,2810,2
website_1,keyword_id_80,2801,3
website_1,keyword_id_81,2799,3
website_1,keyword_id_82,2752,3
website_1,keyword_id_83,2748,2
website_1,keyword_id_84,2741,2
website_1,keyword_id_85,2711,3
website_1,keyword_id_86,2695,3
website_1,keyword_id_87,2675,2
website_1,keyword_id_88,2638,2
website_1,keyword_id_89,2596,2
website_1,keyword_id_90,2593,2
website_1,keyword_id_91,2532,4
website_1,keyword_id_92,2486,3
website_1,keyword_id_93,2478,2
website_1,keyword_id_94,2478,2
website_1,keyword_id_95,2402,2
website_1,keyword_id_96,2366,3
website_1,keyword_id_97,2365,3
website_1,keyword_id_98,2360,2
website_1,keyword_id_99,2257,1
website_1,keyword_id_100,2229,3
website_1,keyword_id_101,2212,2
website_1,keyword_id_102,2192,3
website_1,keyword_id_103,2150,2
website_1,keyword_id_104,2130,4
website_1,keyword_id_105,2112,4
website_1,keyword_id_106,2099,3
website_1,keyword_id_107,1966,4
website_1,keyword_id_108,1957,2
website_1,keyword_id_109,1912,2
website_1,keyword_id_110,1907,4
website_1,keyword_id_111,1895,1
website_1,keyword_id_112,1826,2
website_1,keyword_id_113,1819,3
website_1,keyword_id_114,1796,3
website_1,keyword_id_115,1762,2
website_1,keyword_id_116,1732,3
website_1,keyword_id_117,1726,2
website_1,keyword_id_118,1716,4
website_1,keyword_id_119,1703,3
website_1,keyword_id_120,1680,3
website_1,keyword_id_121,1666,4
website_1,keyword_id_122,1658,4
website_1,keyword_id_123,1640,3
website_1,keyword_id_124,1634,2
website_1,keyword_id_125,1632,2
website_1,keyword_id_126,1613,2
website_1,keyword_id_127,1596,3
website_1,keyword_id_128,1584,3
website_1,keyword_id_129,1581,2
website_1,keyword_id_130,1577,2
website_1,keyword_id_131,1572,2
website_1,keyword_id_132,1570,2
website_1,keyword_id_133,1557,2
website_1,keyword_id_134,1550,3
website_1,keyword_id_135,1535,3
website_1,keyword_id_136,1505,1
website_1,keyword_id_137,1505,3
website_1,keyword_id_138,1498,3
website_1,keyword_id_139,1471,3
website_1,keyword_id_140,1470,3
website_1,keyword_id_141,1452,2
website_1,keyword_id_142,1444,2
website_1,keyword_id_143,1444,3
website_1,keyword_id_144,1444,3
website_1,keyword_id_145,1392,3
website_1,keyword_id_146,1381,4
website_1,keyword_id_147,1373,3
website_1,keyword_id_148,1357,2
website_1,keyword_id_149,1354,2
website_1,keyword_id_150,1338,3
website_1,keyword_id_151,1331,2
website_1,keyword_id_152,1327,4
website_1,keyword_id_153,1316,1
website_1,keyword_id_154,1284,2
website_1,keyword_id_155,1271,1
website_1,keyword_id_156,1267,2
website_1,keyword_id_157,1265,1
website_1,keyword_id_158,1254,4
website_1,keyword_id_159,1250,2
website_1,keyword_id_160,1250,2
website_1,keyword_id_161,1244,1
website_1,keyword_id_162,1239,2
website_1,keyword_id_163,1237,3
website_1,keyword_id_164,1234,1
website_1,keyword_id_165,1227,2
website_1,keyword_id_166,1226,4
website_1,keyword_id_167,1197,3
website_1,keyword_id_168,1185,1
website_1,keyword_id_169,1181,1
website_1,keyword_id_170,1152,3
website_1,keyword_id_171,1152,3
website_1,keyword_id_172,1148,3
website_1,keyword_id_173,1145,3
website_1,keyword_id_174,1143,3
website_1,keyword_id_175,1126,2
website_1,keyword_id_176,1126,2
website_1,keyword_id_177,1124,2
website_1,keyword_id_178,1112,2
website_1,keyword_id_179,1111,2
website_1,keyword_id_180,1110,2
website_1,keyword_id_181,1096,1
website_1,keyword_id_182,1094,3
website_1,keyword_id_183,1090,3
website_1,keyword_id_184,1088,2
website_1,keyword_id_185,1085,2
website_1,keyword_id_186,1078,4
website_1,keyword_id_187,1062,2
website_1,keyword_id_188,1053,4
website_1,keyword_id_189,1047,3
website_1,keyword_id_190,1045,1
website_1,keyword_id_191,1042,4
website_1,keyword_id_192,1038,4
website_1,keyword_id_193,1035,3
website_1,keyword_id_194,1031,2
website_1,keyword_id_195,1015,1
website_1,keyword_id_196,1015,3
website_1,keyword_id_197,1010,2
website_1,keyword_id_198,995,1
website_1,keyword_id_199,987,1
website_1,keyword_id_200,961,5
website_1,keyword_id_201,959,4
website_1,keyword_id_202,939,2
website_1,keyword_id_203,930,2
website_1,keyword_id_204,924,2
website_1,keyword_id_205,906,1
website_1,keyword_id_206,906,3
website_1,keyword_id_207,897,3
website_1,keyword_id_208,895,2
website_1,keyword_id_209,895,2
website_1,keyword_id_210,889,2
website_1,keyword_id_211,887,3
website_1,keyword_id_212,887,3
website_1,keyword_id_213,885,2
website_1,keyword_id_214,883,1
website_1,keyword_id_215,882,2
website_1,keyword_id_216,873,4
website_1,keyword_id_217,868,3
website_1,keyword_id_218,859,3
website_1,keyword_id_219,855,1
website_1,keyword_id_220,853,3
website_1,keyword_id_221,852,4
website_1,keyword_id_222,850,3
website_1,keyword_id_223,840,2
website_1,keyword_id_224,838,3
website_1,keyword_id_225,823,3
website_1,keyword_id_226,822,3
website_1,keyword_id_227,815,3
website_1,keyword_id_228,814,3
website_1,keyword_id_229,806,3
website_1,keyword_id_230,805,3
website_1,keyword_id_231,803,3
website_1,keyword_id_232,798,2
website_1,keyword_id_233,797,3
website_1,keyword_id_234,797,2
website_1,keyword_id_235,789,3
website_1,keyword_id_236,787,2
website_1,keyword_id_237,785,3
website_1,keyword_id_238,779,4
website_1,keyword_id_239,778,2
website_1,keyword_id_240,777,2
website_1,keyword_id_241,776,1
website_1,keyword_id_242,764,2
website_1,keyword_id_243,762,4
website_1,keyword_id_244,758,3
website_1,keyword_id_245,757,3
website_1,keyword_id_246,756,2
website_1,keyword_id_247,753,2
website_1,keyword_id_248,753,4
website_1,keyword_id_249,745,5
website_1,keyword_id_250,744,2
website_1,keyword_id_251,743,2
website_1,keyword_id_252,737,3
website_1,keyword_id_253,736,4
website_1,keyword_id_254,733,1
website_1,keyword_id_255,730,3
website_1,keyword_id_256,729,3
website_1,keyword_id_257,719,3
website_1,keyword_id_258,718,5
website_1,keyword_id_259,718,2
website_1,keyword_id_260,716,4
website_1,keyword_id_261,715,4
website_1,keyword_id_262,711,2
website_1,keyword_id_263,708,3
website_1,keyword_id_264,708,3
website_1,keyword_id_265,705,4
website_1,keyword_id_266,704,2
website_1,keyword_id_267,700,3
website_1,keyword_id_268,699,1
website_1,keyword_id_269,696,3
website_1,keyword_id_270,693,2
website_1,keyword_id_271,692,3
website_1,keyword_id_272,691,3
website_1,keyword_id_273,689,3
website_1,keyword_id_274,684,2
website_1,keyword_id_275,682,3
website_1,keyword_id_276,681,2
website_1,keyword_id_277,679,4
website_1,keyword_id_278,679,2
website_1,keyword_id_279,676,3
website_1,keyword_id_280,676,3
website_1,keyword_id_281,675,3
website_1,keyword_id_282,671,3
website_1,keyword_id_283,660,3
website_1,keyword_id_284,660,4
website_1,keyword_id_285,658,3
website_1,keyword_id_286,654,3
website_1,keyword_id_287,647,3
website_1,keyword_id_288,647,3
website_1,keyword_id_289,643,3
website_1,keyword_id_290,642,4
website_1,keyword_id_291,638,4
website_1,keyword_id_292,636,4
website_1,keyword_id_293,634,2
website_1,keyword_id_294,630,3
website_1,keyword_id_295,630,4
website_1,keyword_id_296,629,1
website_1,keyword_id_297,623,2
website_1,keyword_id_298,623,2
website_1,keyword_id_299,617,1
website_1,keyword_id_300,617,3
website_1,keyword_id_301,611,3
website_1,keyword_id_302,609,1
website_1,keyword_id_303,609,3
website_1,keyword_id_304,604,3
website_1,keyword_id_305,603,3
website_1,keyword_id_306,601,3
website_1,keyword_id_307,601,1
website_1,keyword_id_308,598,3
website_1,keyword_id_309,593,2
website_1,keyword_id_310,593,2
website_1,keyword_id_311,591,3
website_1,keyword_id_312,585,2
website_1,keyword_id_313,582,3
website_1,keyword_id_314,581,4
website_1,keyword_id_315,579,3
website_1,keyword_id_316,578,5
website_1,keyword_id_317,578,2
website_1,keyword_id_318,575,2
website_1,keyword_id_319,569,3
website_1,keyword_id_320,553,4
website_1,keyword_id_321,551,2
website_1,keyword_id_322,548,3
website_1,keyword_id_323,548,4
website_1,keyword_id_324,547,2
website_1,keyword_id_325,546,4
website_1,keyword_id_326,544,3
website_1,keyword_id_327,543,3
website_1,keyword_id_328,541,2
